,stolbec
134,"['Про', 'звезду', 'осеннюю', ',', 'дорогу', ',', 'синие', 'пустые', 'небеса', ',', 'про', 'цыганку', 'на', 'пути', 'к', 'острогу', ',', 'про', 'чужие', 'чёрные', 'глаза', '.']"
135,"['…И', 'поезда', 'уходят', 'под', 'откос', ',', '…И', 'самолёты', ',', 'долетев', 'до', 'звёзд', ',', 'сгорают', 'в', 'них', '.']"
136,"['Один', 'мотив', 'с', 'другим', 'мотивом', 'слился', '.']"
137,"['И', 'грустил', 'я', ',', 'спросив', 'сигарету', ',', 'что', ',', 'какая', 'б', 'любовь', 'ни', 'была', ',', 'я', 'однажды', 'сюда', 'не', 'приеду', '.']"
138,"['Что', 'ещё', ',', 'Иринушка', ',', 'не', 'знаю', ',', 'но', ',', 'наверно', ',', 'музыка', 'была', '.']"
139,"И рыдает за жутким стеной тот, кому я оставлю тебя."
140,"['Гроза', 'шуровала', 'в', 'том', 'месте', ',', 'где', 'с', 'Камой', 'сливается', 'Обью', ',', 'а', 'далее', '—', 'Волга', '.']"
141,"['Звезда', '.']"
142,"['Из', 'школьного', 'зала', '—', 'в', 'осенний', 'прозрачный', 'покой', '.']"
143,"Прихватить, что ли, туфли его в самом деле?"
144,"['Следуя', 'заданной', 'логике', ',', 'к', 'буйству', 'и', 'пьянству', 'твердой', 'рукою', 'себя', 'приучает', ',', 'и', 'тут', '—', 'видит', 'березу', 'с', 'осиной', 'в', 'осеннем', 'убранстве', ',', 'делает', 'песню', ',', 'и', 'русские', 'люди', 'поют', '.']"
145,На леса и луга надвигается траур.
146,"['Я', 'улыбнусь', ',', 'махну', 'рукой', 'подобно', 'Юрию', 'Гагарину', ',', 'со', 'лба', 'похмельную', 'испарину', 'сотру', 'и', 'двину', 'по', 'кривой.Винты', 'свистят', ',', 'мотор', 'ревет', ',', 'я', 'выхожу', 'на', 'взлет', 'задворками', '.']"
147,"['Там', 'были', 'девочки', ':', 'Маруся', ',', 'Роза', ',', 'Рая', '.']"
148,"['Венок', 'из', 'ромашек', ',', 'спортивные', ',', 'в', 'общем', ',', 'штаны', ',', 'кроссовки', 'и', 'майка', '—', 'короче', ',', 'одет', 'без', 'затей', ',', 'чтоб', 'было', 'не', 'жалко', 'отдать', 'эти', 'вещи', 'в', 'музей', '.']"
149,"['Над', 'ушами', 'и', 'носами', 'проплывали', 'небеса', '.']"
150,"['Мимо', 'кладбища', ',', 'цирка', ',', 'острога', ',', 'вез', 'меня', 'молчаливый', 'дебил', '.']"
151,"['И', 'я', 'тебя', 'целую', 'впопыхах', '.']"
152,"['Кажется', ',', 'нет.Спичка', 'плывёт', ',', 'с', 'лица', 'исчезает', 'истома', '.']"
